University;Faculty;Qualifications;Year;Modules;Module Code;SAQA Credits;Description
null;null;null;null;Cell structure and function 367;BCM 367;null;"Visualising cell structure and localisation of proteins within cells. Cell ultrastructure. Purification of subcellular
organelles. Culturing of cells. Biomembrane structure. Transmembrane transport of ions and small molecules
and the role of these processes in disease. Moving proteins into membranes and organelles. Vesicular traffic,
secretion, exocytosis and endocytosis. Cell organisation and movement motility based on the three types of
cytoskeletal structures including microfilaments, microtubules and intermediate filaments as well as their
associated motor proteins. Cell-cell and cell-matrix adhesion through corresponding proteins and morphological
structures. Practical training includes tutorials on cytometry and microscopy, mini-research projects where
students are introduced and guided through aspects of research methodology, experimental planning
techniques associated with cellular assays, buffer preparation, active transport studies in yeast cells, structurefunction analyses of actin and binding partners."
null;null;null;null;Molecular basis of disease 368;BCM 368;null;"Molecular mechanisms behind exogenous and endogenous diseases. Foundational knowledge of the immune
system, with innate-, adaptive- and auto-immunity (molecular mechanisms of the maintenance and failure of the
recognition of foreign in the context of self in the mammalian body) being some of the key concepts. Molecular
pathology and immunobiochemistry of exogenous diseases against viral, bacterial and parasitic pathogens with
a focus on the human immunodeficiency virus (HIV), tuberculosis (TB) and malaria. Endogenous disease will
describe the biochemistry of normal cell cycle proliferation, quiescence, senescence, differentiation and
apoptosis, and abnormal events as illustrated by cancer. Tutorials will focus on immunoassays, vaccines,
diagnostic tests for diseases and drug discovery towards therapeuticals."
null;null;BSc (Microbiology);1;Introduction to microbiology 161;MBY 161;null;"The module will introduce the student to the field of Microbiology. Basic Microbiological aspects that will be
covered include introduction into the diversity of the microbial world (bacteria, archaea, eukaryotic
microorganisms and viruses), basic principles of cell structure and function, microbial nutrition and microbial
growth and growth control. Applications in Microbiology will be illustrated by specific examples i.e.
bioremediation, animal-microbial symbiosis, plant-microbial symbiosis and the use of microorganisms in
industrial microbiology. Wastewater treatment, microbial diseases and food will be introduced using specific
examples."
null;null;null;null;Molecular and cell biology 111;MLB 111;null;"Introduction to the molecular structure and function of the cell. Basic chemistry of the cell. Structure and
composition of prokaryotic and eukaryotic cells. Ultrastructure and function of cellular organelles, membranes
and the cytoskeleton. General principles of energy, enzymes and cell metabolism. Selected processes, e.g.
glycolysis, respiration and/or photosynthesis. Introduction to molecular genetics: DNA structure and replication,
transcription, translation. Cell growth and cell division."
null;null;null;null;Physics for biology students 131;PHY 131;null;"Units, vectors, one dimensional kinematics, dynamics, work, equilibrium, sound, liquids, heat, thermodynamic
processes, electric potential and capacitance, direct current and alternating current, optics, modern physics,
radioactivity."
null;null;null;null;Mathematics 134;WTW 134;null;"Functions, derivatives, interpretation of the derivative, rules of differentiation, applications of differentiation,
integration, interpretation of the definite integral, applications of integration. Matrices, solutions of systems of
equations. All topics are studied in the context of applications."
null;null;null;null;Mathematics 165;WTW 165;null;"Functions, derivatives, interpretation of the derivative, rules of differentiation, applications of differentiation,
integration, interpretation of the definite integral, applications of integration, matrices, solutions of systems of
equations. All topics are studied in the context of applications."
null;null;null;null;Animal diversity 161;ZEN 161;null;"Animal classification, phylogeny organisation and terminology. Evolution of the various animal phyla,
morphological characteristics and life cycles of parasitic and non-parasitic animals. Structure and function of
reproductive,
respiratory, excretory, circulatory and digestive systems in various animal phyla. In-class discussion will address
the sustainable development goals #3, 12, 13, 14 and 15 (Good Health and Well-being. Responsible
Consumption and Production, Climate Action, Life Below Water, Life on Land)"
null;null;null;2;Introduction to proteins and enzymes 251;BCM 251;null;"Structural and ionic properties of amino acids. Peptides, the peptide bond, primary, secondary, tertiary and
quaternary structure of proteins. Interactions that stabilise protein structure, denaturation and renaturation of
proteins. Introduction to methods for the purification of proteins, amino acid composition, and sequence
determinations. Enzyme kinetics and enzyme inhibition. Allosteric enzymes, regulation of enzyme activity, active
centres and mechanisms of enzyme catalysis. Examples of industrial applications of enzymes and in clinical
pathology as biomarkers of diseases. Online activities include introduction to practical laboratory techniques and
Good Laboratory Practice; techniques for the quantitative and qualitative analysis of biological
molecules; enzyme activity measurements; processing and presentation of scientific data."
null;null;null;null;Carbohydrate metabolism 252;BCM 252;null;"Carbohydrate structure and function. Blood glucose measurement in the diagnosis and treatment of
diabetes. Bioenergetics and biochemical reaction types. Glycolysis, gluconeogenesis, glycogen metabolism,
pentose phosphate pathway, citric acid cycle and electron transport. Total ATP yield from the complete oxidation
of glucose. A comparison of cellular respiration and photosynthesis. Online activities include techniques for
the study and analysis of metabolic pathways and enzymes; PO ratio of mitochondria, electrophoresis,
extraction, solubility and gel permeation techniques; scientific method and design."
null;null;null;null;Introductory biochemistry 257;BCM 257;null;"Chemical foundations. Weak interactions in aqueous systems. Ionisation of water, weak acids and weak bases.
Buffering against pH changes in biological systems. Water as a reactant and function of water. Carbohydrate
structure and function. Biochemistry of lipids and membrane structure. Nucleotides and nucleic acids. Other
functions of nucleotides: energy carriers, components of enzyme cofactors and chemical messengers.
Introduction to metabolism. Bioenergetics and biochemical reaction types. Online activities include introduction
to laboratory safety and Good Laboratory Practice; basic biochemical calculations; experimental method design
and scientific controls, processing and presentation of scientific data."
null;null;null;null;Molecular genetics 251;GTS 251;null;"The chemical nature of DNA. The processes of DNA replication, transcription, RNA processing, translation.
Control of gene expression in prokaryotes and eukaryotes. Recombinant DNA technology and its applications in
gene analysis and manipulation."
null;null;null;null;Genetic diversity and evolution 261;GTS 261;null;"Chromosome structure and transposable elements. Mutation and DNA repair. Genomics and proteomics.
Organelle genomes. Introduction to genetic analysis of populations: allele and genotypic frequencies, Hardy
Weinberg Law, its extensions and implications for different mating systems. Introduction to quantitative and
evolutionary genetics."
null;null;null;null;Bacteriology 251;MBY 251;null;"Growth, replication and survival of bacteria, Energy sources, harvesting from light versus oxidation, regulation of
catabolic pathways, chemotaxis. Nitrogen metabolism, iron-scavenging. Alternative electron acceptors:
denitrification, sulphate reduction, methanogenesis. Bacterial evolution, systematic and genomics. Biodiversity;
bacteria occurring in the natural environment (soil, water and air), associated with humans, animals, plants, and
those of importance in foods and in the water industry."
null;null;null;null;Mycology 261;MBY 261;null;"Organisation and molecular architecture of fungal thalli, chemistry of the fungal cell. Chemical and physiological
requirements for growth and nutrient acquisition. Mating and meiosis; spore development; spore dormancy,
dispersal and germination. Fungi as saprobes in soil, air, plant, aquatic and marine ecosystems; role of fungi as
decomposers and in the deterioration of materials; fungi as predators and parasites; mycoses, mycetisms and
mycotoxicoses; fungi as symbionts of plants, insects and animals. Applications of fungi in biotechnology."
null;null;null;null;Food microbiology 262;MBY 262;null;"Primary sources of migroorganisims in food. Factors affecting the growth and survival of microorganisms in food.
Microbial quality, spoilage and safety of food. Different organisms involved, their isolation, screening and
detection. Conventional approaches, alternative methods rapid methods. Food fermentations: fermentation
types, principles and organisms involved."
null;null;null;3;Virology 351;MBY 351;null;"Introduction to the viruses as a unique kingdom inclusive of their different hosts, especially bacteria, animals
and plants; RNA and DNA viruses; viroids, tumour viruses and oncogenes, mechanisms of replication,
transcription and protein synthesis; effect on hosts; viral immunology; evolution of viruses."
null;null;null;null;Bacterial genetics 355;MBY 355;null;"DNA replication and replication control. DNA recombination. DNA damage and repair. Genetics of
bacteriophages, plasmids and transposons. Bacterial gene expression control at the transcriptional, translational
and post-translational levels. Global regulation and compartmentalisation."
null;null;null;null;Genetic manipulation of microbes 364;MBY 364;null;"Isolation of clonable DNA (genomic libraries, cDNA synthesis) cloning vectors (plasmids, bacteriophages,
cosmids) plasmid incompatibility and control of copy number. Ligation of DNA fragments, modification of DNA
end and different ligation strategies. Direct and indirect methods for the identification of recombinant
organisms. Characterization (polymerase chain reaction, nucleic acid sequencing) and mutagenisis of cloned
DNA fragments. Gene expression in Gram negative (E.coli) Gram positive (B.subtilis) and yeast cells
(S.cerevisea). Use of Agrobacterium and baculoviruses for gene expression in plant and insect cells respectively.
Applications in protein engineering, diagnostics and synthesis of useful products."
null;null;null;null;Microbe interactions 365;MBY 365;null;"Interactions between microbes and their abiotic environment; microbial interaction with other strains of the
same and other species; microbial interactions across kingdoms; pathogenic interactions between microbes and
plant or animal hosts; mutualistic interactions between microbes and their hosts; introduction to systems
biology"
