University;Faculty;Qulification;Year;Modules;Module Code;SAQA credits;Description
null;null;null;null;Mineralogy;MIG115D;6;Introduction to Mineralogy and Physical Properties of Mineral. Atoms and Chemical Bonding. The Formation of Crystalline Solids. Morphology of Crystals. Berzelian Classification of minerals. Native Elements and Sulphides. Oxides, Hydroxides and Halides. Carbonate minerals. Sulphates, Phosphates, Vanadates, Tungstates and Molybdates. Neso- and Sorosilicates. Cyclo- and Inosilicates. Phyllosilicates. Tectosilicates. Mineraloids.
null;null;null;null;Stratigraphy;STG115D;6;Principles of stratigraphy. Introduction to the South African Stratigraphy. Archaean Intrusions. Pongola Supergroup. Dominion Group and Witwatersrand Supergroup. Ventersdorp Supergroup and the Limpopo Belt. Transvaal Supergroup. Bushveld Igneous Complex and Rooiberg Group. Alkaline Complexes (Phalaborwa, Schiel and Pilanesberg). Soutpansberg, Waterberg Groups and Olifantshoek Supergroup. Namaqua-Natal Province. Cape Granite Suite and Cape Supergroup. Sedimentary and Igneous Karoo. Gondwana Break-up and Mesozoic and Cenozoic deposits (on- and offshore). Impact Structures, Kimberlites, Karsts and caves.
null;null;null;2;Geological Maps II;GMG216D;12;Introduction to map work. Map scales. Topographic profiles. Geological Sections. Geological Traverse and mapping. Drilling methods. Introduction to structure contours. True dip of a plane, strike of a plane and apparent dip of a plane. Geological sections. Vertical thickness and true thickness. Geological Structures. Three point problems.
null;null;null;null;Structural Geology;SGG216D;12;Introduction to the nature of structural geology. Introduction to geologic structures - their classification. Displacement and strain. Force and stress in rocks and strength of rocks. Deformation mechanisms. Joints. Faults and faulting. Folds and folding. Fault-fold interactions. Foliation and lineation. Shear zones and progressive deformation. Tectonism and active tectonics. Geologic mapping.
null;null;null;null;Hydrogeology I;HYG216D;12;Introduction to hydrology and hydrogeology. Energy transformations and the hydrologic cycle. Elements of the hydrogeologic cycle. Stream hydrographs. Baseflow and groundwater recharge. Porosity and earth materials.
null;null;null;null;Petrology;PEG216D;12;Introduction to igneous petrology. Classification of igneous rocks. Igneous rocks textures and structures. Volcanic rocks in South Africa. Igneous rocks hand specimen identification and fieldwork. Metamorphic petrology. Contact metamorphism. Regional metamorphism. Organically formed sedimentary rocks. Summary of Petrology course.
null;null;null;3;Environmental Earth Sciences II;EAG316D;12;General Petrology. Pyroclastic Rocks and their Classification. The Contribution of Volcanic eruptions to Atmospheric Chemistry. Thermodynamic equilibria. Mineral speciation. Geochemistry of Continental Solids. Chemistry of Continental Waters. Chemistry of Oceanic Waters.
null;null;null;null;Engineering Geology II;ENG316D;18;Investigation of dam wall area and foundations. Rock cycles and processes. Types of rocks. Rock in construction. Geological structures
null;null;null;null;Geophysics II;GEP316D;18;Application of resistivity into the resistivity method and data acquisition using a resistivity survey. Application of seismic velocity into the refraction seismic method and data acquisition using a refraction seismic survey.
null;null;null;null;Geographic Information Systems and Remote Sensing;GIS316D;12;Introduction to GIS. Spatial data models. Spatial data structures. Spatial data input. Visualisation and query of spatial data. Spatial data transformations. Tools for map analysis: Single map. Tools for map analysis: Map pairs. Tools for map analysis: Multiple maps
null;null;null;null;Hydrogeology II;HYG316D;18;Groundwater flow to wells. Soil moisture and groundwater recharge. Regional groundwater flow. Geology of groundwater occurrence. Basic water chemistry. Water quality and groundwater contamination. Groundwater development and management.
null;null;null;null;Mining and Exploration Geology;MEG316D;18;Mineral area selection. Mineral deposit models. Exploration design and strategy. Mineral Exploration Case Studies 1. Mineral Exploration Case Studies 2. (
null;null;null;null;WIL in Geology I;WGD316D;24;Introduction to WIL (WDTL): WIL unpacked (purpose, outcomes, procedures-timeframe etc.) Roles and responsibilities (TUT staff, students, institutions). Action learning (observation, problem-solving, action plans, Reflection practices). Development of applied competencies (PJBL and WBL): Producing and Communicating Information. Problem-solving. Geological report writing.
null;null;DIPLOMA IN WATER SCIENCE AND TECHNOLOGY;1;Water Microbiology I;WMB115D;12;History and scope of microbiology (outlining the historical background of microbiology). Study of microbial structure, microbial nutrition, growth and control. Microbial diversity (Microbial taxonomy, Bacteria, Protozoa, Algae, Viruses). Water related diseases (Water born, Water based, Water washes, Water related insect vector, Airborne diseases).
null;null;null;null;Water Technology I;WTE115D;12;Water cycle, influence of climate and topography, rainfall mechanisms, availability of water and groundwater in South Africa, users of water sources, alternative water sources. Basic water quality. Introduction to water and wastewater treatment. Decentralised water and sanitation. Pollution (Types of pollution, Point and non-point source pollution, Heat pollution, Influence of pollution on a water source).
null;null;null;2;Water Analysis I;WAN216D;21;Application of the following methods on potable water, wastewater, industrial effluents and mine water samples: preparation and standardisation of solutions, physical parameters, titrimetric analysis, gravimetric analysis, colorimetric analysis and chemical dosages.
null;null;null;null;Water Chemistry I;WCH216D;21;Introduction: Chemical equations, type of chemical reactions, calculations from chemical reaction equations, solutions and concentrations, chemical equilibrium and thermodynamics, factors affecting chemical equilibrium. Acid/base equilibria. Solubility equilibria. Oxidation-reduction equilibria. General principles of the chemical water analysis: sample preparation, titrimetric, gravimetric, turbidity, conductivity, pH, colour, tastes and odours.
null;null;null;null;Water Microbiology II;WMB216D;18;Water and Wastewater Microorganisms (Origin of microbes, types and characteristics of water wastewater, E. coli, Total coliforms, Faecal coliforms, Salmonella and Shigella spp, Microbial metabolism and growth). Environmental Water Quality Management. Microbiology and process control. Practical’s (Detection, enumeration and identification of water and wastewater microorganisms, Sampling for microbial analysis, Cultural techniques, Microscopy). Indicator organisms (Coliphages, E. coli, Total coliforms, Faecal coliforms, Salmonella and Shigella spp).
null;null;null;null;Water Plant Management I;WPM216D;18;Principles of general management, human resource management, employment relations and labour legislation, managing people and teams. Operations management. Inventory management, Safety management. Budgeting (types of budgets, drafting an annual budget, the use of budgeting to control costs).
null;null;null;null;Water Treatment I;WTR215D;21;Introduction, abstraction and pre-treatment, coagulation and flocculation, sedimentation filtration, and disinfection. Operation and monitoring of the unit processes, including process related calculations and equipment.
null;null;null;null;Wastewater Treatment I;WWT215D;21;Composition of wastewater, sources of wastewater and flow rates variations. Preliminary wastewater treatment, primary sedimentation, secondary wastewater treatment (attached and suspended growth processes), disinfection. Wastewater treatment for small communities (types works, applications, operation and maintenance).
null;null;null;3;Water Analysis II;WAN316D;12;Application of the following methods on potable water, wastewater, industrial effluents and mine water samples: Ion selective electrodes analysis, spectrophotometric and colorimetric analysis, wastewater treatment control tests, chemical dosage for phosphate removal and sludge dewatering practical tests.
null;null;null;null;Water Chemistry II;WCH316D;12;Basic concepts of organic chemistry, common food related organic compounds, detergents, pesticides, trace organic compounds, behaviour of organic compounds in the environment, natural organic matter. Chemical process kinetics. Analytical techniques (ion selective electrodes, spectroscopy and colorimetric. Weathering of rocks and the influence of water quality.
null;null;null;null;Water Treatment II;WTR316D;18;Water stabilisation, Water softening. Desalination. Ion exchange. Iron and manganese removal. Fluoridation and Defluoridation. Water treatment residues. Water storage. Quality control in distribution systems (Theoretical conditions for complete attainment of water quality control, causes of poor water quality in distribution systems, operation and maintenance practices).
null;null;null;null;Wastewater Treatment II;WWT316D;18;Characteristics of nutrients in domestic wastewater, advanced wastewater treatment processes: biological nutrient removal including nitrification, denitrification and enhanced phosphate removal and chemical phosphate removal, tertiary wastewater treatment including wetland treatment, sludge treatment processes including: thickening, stabilisation, conditioning and dewatering. Sludge management and utilisation.
null;null;null;null;Work-Integrated Learning: Water Science and Technology;WIL316D;60;Work-Integrated Learning will be done with an accredited employer and is overseen by a mentor and departmental lecturer. A compulsory syllabus will be followed and monthly reports and a final assignment must be submitted. Students will be visited at their place of employment and will be subjected to an oral assessment.
null;null;DIPLOMA IN SOMATIC THERAPY;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc.
null;null;null;null;Anatomy and Physiology I ;APS105D;12;This module prepares the student to demonstrate informed understanding of the core areas of human anatomy and physiology. To understand key anatomical structures, locations, physiology terms, concepts, medical related facts, and the general principles of the organisation of the human body.
null;null;null;null;Computer Literacy;CPL105X;10;This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3).
null;null;null;null;Holistic and Complementary Therapy I;HCT105D;24;Application of somatic skills and competencies to conduct an analysis of the body, face and general health and perform the appropriate somatic treatments. Applying somatic treatments in health and wellness, body therapies and dermal therapies. Skills to incorporate hygienic practices, relevant professional products, adequate home-care, nutritional and lifestyle guidelines to restore and maintain health.
null;null;null;null;Information Literacy I;INI125D;2;Introduction of information literacy. Development of a search strategy and application of a search string to search engines and academic databases. Evaluation of information sources. Ethical and legal use of information.
null;null;null;null;Life Skills I;LFI125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management"
null;null;null;null;Nutrition I;NUT105D;12;Study of the chemical structure, metabolism and physiological functions of each nutrient, as well as the interaction of nutrients in the body
null;null;null;null;Somatic Exercise Therapy I;SET105D;12;This module prepares the student to demonstrate skills and competencies to conduct a somatic analysis of the body and perform the appropriate somatic exercise therapy within their scope of practice and that adhere to Occupational Health and Safety regulations and professional ethics. Apply somatic exercise therapy such as health maintenance, body assessment and measurements and appropriate exercise therapy for specific physical benefit. Provided with skills to incorporate hygienic practices, relevant professional products, adequate home-care, nutritional and lifestyle guidelines.
null;null;null;null;Science for Occupational Purpose I;SOR105D;12;The role and importance of chemistry in everyday life. Classification and properties of matter. Atoms, molecules and ions. General properties of aqueous solutions and reactions in aqueous solutions. Motion. Forces. Energy and power. Density. Pressure. Temperature and heat. Basic Electricity. Basic Magnetism. Waves.
null;null;null;null;"Skilled Touch Principles and
Techniques I";STT105D;24;This module prepares the student to demonstrate skills and competencies to conduct an assessment of the physical and emotional state of the client and perform the appropriate massage technique. Apply knowledge in massage treatments such as Swedish massage, thermal, hydro and mechanical massage, aromatherapy and reflexology. Skills to incorporate hygienic practices, relevant professional products, adequate home-care, nutritional and lifestyle guidelines
null;null;null;2;Anatomy and Physiology II;APS206D;12;This module prepares the student to demonstrate detailed knowledge of the human body's cellular and chemical organisation, the principles of support and movement, the control and maintenance of the human body through the various organ systems, and pathophysiology of the organ systems.
null;null;null;null;Business Practice I;BSP206D;12;Introduction to the business world, marketing orientation, non-verbal and verbal communication, written business communication, professional ethics, selling techniques, sales administration.
null;null;null;null;Holistic and Complementary Therapy II;HCT206D;24;Application of skills and competencies in somatic treatments such as holistic health management, advanced body therapies and advanced dermal therapies. Applying knowledge in somatic treatments relating to a multidisciplinary, holistic approach working alongside other health care providers to restore and maintain health. Identifying integrative and medical treatment options available for somatic conditions that affect physical health, apply electrotherapy aimed at weight management, provide lifestyle advice and home care support. Performing advanced cosmeceutical dermal treatments to improve skin disorders/conditions and perform level 1 cosmetic micro-pigment implantation.
null;null;null;null;Nutrition II;NUT206D;12;Application of basic nutritional knowledge gained in the first year regarding energy metabolism, planning of nutritionally balanced meals and the nutrition of specific age groups. Basic knowledge of the modification of the normal diet when planning therapeutic menus.
null;null;null;null;Somatic Exercise Therapy II;SET206D;12;This module prepares the student to demonstrate skills and competencies to conduct a fitness and health evaluation of the body and perform the appropriate somatic exercise treatments related to health management, body assessment and body therapy. Gain insight into exercise physiology in health maintenance and effectively identify and perform various types of exercise activities designed and prescribed for specific physical benefit.
null;null;null;null;Socio-Psychology I;SOP206D;12;Apply knowledge, skills and attitudes in psychology to effectively, and professionally interact with individuals, families and communities, throughout their life span, in a variety of work, therapeutic and health care settings.
null;null;null;null;Skilled Touch Principles and Techniques II;STT206D;24;This module prepares the student to demonstrate skills and competencies to conduct an assessment of the physical and emotional state of the client and perform the appropriate massage therapy treatments. Apply knowledge in massage therapy treatments such as massage techniques for therapeutic and non-therapeutic purposes, advanced aromatherapy, advanced reflexology and sports massage. Skills to incorporate hygienic practices, relevant professional products, adequate home-care, nutritional and lifestyle guidelines.
null;null;null;null;WIL in Somatic Therapy I;WSM206D;12;Simulated learning on campus which prepares the student to integrate academic learning and real-life experience with its application at the university as part of the fulfilment of the learning programme towards a qualification.
null;null;null;3;Business Practice II;BSP306D;12;Identifying market opportunities, locating the clinic, product and service strategy, pricing strategy, advertising, sales promotions, public relations, legal aspects.
null;null;null;null;General Microbiology I;GMI306D;12;An area of study which focuses on the scientific study of unicellular organisms and colonies, and subcellular genetic matter and their ecological interactions with human beings and other life. Includes instruction in microbial genetics, cell biology, cell physiology, virology, pathogenic microbiology, environmental microbiology, immunology, biostatistics, bioinformatics, and laboratory methods including microscopy
null;null;null;null;General Pharmacology;GPA306D;12;Acquire detailed knowledge and understanding of the basic principles of pharmacology, common organ system conditions and their treatment, transdermal delivery and drugs used to treat common skin conditions.
null;null;null;null;Holistic and Complementary Therapy III;HCT306D;15;Recognise and identify physical and emotional conditions suitable for holistic, preventative and remedial therapy and understand the use of holistic and complementary therapy in health. Knowledge in health and wellness such as complementary medicine, complementary medicine techniques and cosmetic micro-pigment implantation. Basic knowledge in stress and distress and therapies and techniques to promote relaxation in order to maintain health, wellbeing and lead a productive lifestyle. Apply different relaxation techniques and perform cosmetic micro-pigment implantation on the eyes and lips.
null;null;null;null;Nutrition III;NUT306D;12;Factors influencing dietary patterns. Dietary habits of ethnic, religious and other groups in Southern Africa. Nutrition and the food industry. Consumer education.
null;null;null;null;Socio-Psychology II;SOP306D;12;Knowledge of psycho-social sciences, throughout the life span, in a variety of work environments, therapeutic and health care settings and communities in response to population needs.
null;null;null;null;Skilled Touch Principles and Techniques III;STT306D;15;This module prepares the student to demonstrate skills and competencies to conduct and perform the appropriate massage therapy within their scope of practice and that adhere to Occupational Health and Safety regulations and professional ethics. Apply knowledge in massage therapy such as holistic health management, Manual Lymph Drainage and Advanced Sports Massage. Skills to incorporate hygienic practices, relevant professional products, adequate home-care, nutritional and lifestyle guidelines.
null;null;null;null;WIL in Somatic Therapy II;WSM306D;30;Work-based learning to integrate academic learning and real-life experience at an approved hospital, health clinic or medical clinic as part of the fulfilment of the learning programme towards a qualification.
null;null;ADVANCED DIPLOMA IN SOMATIC THERAPY;1;Health Care Administration and Management I;HAM107V;12;"Management of a healthcare organisation; Strategic management of a healthcare organisation; Selected management models and theories; Dimensions functional management in healthcare organisations; Nature and scope of human resource management; Planning and provision of human resources; Maintenance of human resources; Utilisation of human resources; and Performance management and development of human resources."
null;null;null;null;Holistic and Complementary Therapy IV;HCT107V;30;"Stress management strategies and techniques; Relaxation therapies and techniques; and Micropigmentation Implantation Techniques for Reconstructive Purposes."
null;null;null;null;Introduction to Research I: Somatic Therapy;IST107V;12;The student will be able to apply knowledge as well as an ability to apply and evaluate the key terms, concepts, facts, principles, rules and theories of research in related fields of study in Science. The module should further provide the student with competencies such as, but not limited to review, research, writing and reporting, and communicating competencies.
null;null;null;null;Nutrition IV;NUT107V;12;"Nutrition for oral and dental health; Consistency of modified diets; Carbohydrates and fat modified diets for malabsorption; Energy, fat and protein modified diets for diseases; Candidiasis; Nutrition and menopause; and Nutrition and skin health."
null;null;null;null;Skilled Touch Principles and Techniques IV;STT107V;30;"Specialised massage therapies; Manual lymph drainage massage; Mechanical lymph drainage massage; and Traditional Thai massage."
null;null;null;null;Clinical Management in Somatic Therapy IV;STY107V;24;"Evidence for therapeutic massage for a specific physical or emotional condition; Evidence for stress management and relaxation therapy for a specific physical or emotional condition; Evidence for micropigmentation implantation techniques for reconstructive purposes; and Portfolio of Evidence."
null;null;ADVANCED DIPLOMA IN PHARMACEUTICAL SCIENCES;1;Biopharmaceutics and Pharmacology;BPY107V;24;Physiology of the gastro-intestinal tract and drug absorption. Concept of drug bioavailability including routes of drug administration, physiology of the GIT and factors that affect bioavailability. Dosage regimens and routes of drug administration. An introduction to basic pharmacology. Drug disposition (absorption, distribution metabolism and excretion) in the body. Fundamental knowledge of drug pharmacokinetics, bioavailability and pharmacology as used in comparative bioavailability studies. Bioequivalence. Students will develop skills in determining bioavailability of drugs using in-vitro and in-vivo methods as well as using data from such studies to determine bio-equivalence.
null;null;null;null;Clinical Research;CRS107V;24;The central areas of pre-clinical research and development, applying the key terms, concepts, facts, principles, rules and theories in pre-clinical research, clinical trial design in accordance with the ICH Guidelines with emphasis on controls in clinical trials. Clinical trial protocols and regulatory authority and independent ethics committee approval. Life cycle of a clinical trial. Ethical aspects of clinical trials. Good Clinical Practice. Good Laboratory Practice
null;null;null;null;Quality of Medicines;QMD107V;24;A wide range of topics associated with quality assurance, good manufacturing practices, quality control, validation, design and control of the manufacturing environment, including manufacturing procedures, documentation, raw materials, human resources and facilities and equipment for manufacturing of pharmaceutical products. Appropriate processes of information gathering within the field of drug development process and good manufacturing practices in order to produce quality medicinal products. Compliance with current Good Manufacturing Practices (cGMP). Differences between GMP, QA, and QC in pharmaceutical manufacturing.
null;null;null;2;Medicine Governance;MGO107V;24;"The role of the pharmaceutical regulatory scientist, South African legislative process and key concepts in the process of law making; Key concepts of Medicines and Related Substances Act, 1965 (Act No. 101 of 1965); The Pharmacy Act, 1974 (Act No. 53 of 1974) consolidated); the international pharmaceutical arena and its impact on S.A. regulatory practice; the classification medicinal products and Complementary and Alternative Medicines (CAMs); Requirements for medicine registration in S.A.; the South African Common Technical Document (CTD) Guidelines as well as the South African Health Products Regulatory Authority (SAHPRA) post registration processes."
null;null;null;null;Pharmaceutical Development Process;PHD107V;24;The steps in the Pharmaceutical Development Process of a drug into a pharmaceutical dosage form. The stages of preformulation, characterisation of the active pharmaceutical ingredient, the design and formulation of an appropriate dosage form and briefly the manufacturing process, record keeping, packaging and stability aspects. Various dosage forms, advantages, disadvantages, routes of administration, formulation development and rationale for choice of excipients, specifications, official and legal requirements for active pharmaceutical ingredients, excipients and finished products, manufacturing requirements specific to each dosage form.
null;null;null;null;Introduction to Research Methodology: Pharmaceutical Sciences;RPS107V;12;The purpose of this module is to provide a student with detailed knowledge as well as an ability to apply and evaluate the key terms, concepts, facts, principles, rules and theories of research in the pharmaceutical sciences field
null;null;DIPLOMA IN DENTAL TECHNOLOGY;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc.
null;null;null;null;Applied Dental Technology I;ADH105D;30;The manufacturing of all types of full dentures. The use and handling of materials and equipment that is important in prosthetic work.
null;null;null;null;Computer Literacy;CPL105X;10;This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3)
null;null;null;null;Dental Laboratory Management I;DLM105D;18;"Dental laboratory management - Work ethics and personal presentation; Health and safety in the workplace; basics of electricity, plumbing, gas and equipment; Optimal use of materials; Diversity in the workplace. Quality systems - Introduction to quality systems; Purpose/objectives of a QMS; Definitions; Total quality management of a six sigma; and Roles of employee and employer"
null;null;null;null;Dental Materials Science I;DMS105D;12;Dental materials such as gypsum, wax, impression material, acrylics and abrasive and polishing agents. Basic chemistry and physics applicable to dental materials.
null;null;null;null;Dental Technology Theory I;DTT105D;12;Theory of the construction of full dentures.
null;null;null;null;Information Literacy;INL125X;2;Introduction of information literacy. Development of a search strategy and application of a search string to search engines and academic databases. Evaluation of information sources. Ethical and legal use of information.
null;null;null;null;Life Skills;LFS125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management."
null;null;null;null;Oral Anatomy and Tooth Morphology;OAT105D;24;Students are provided with the theoretical knowledge to understand the landmarks and anatomy during dental appliance manufacturing procedures and to prepare them to work as an employee in a dental laboratory.
null;null;null;2;Applied Dental Technology II;ADH206D;33;The design and manufacture of all types of dentures, orthodontic appliances and mouth guards. These include clinical work received from the clinics. Full metal crowns, temporary crowns and posts are also constructed.
null;null;null;null;Dental Laboratory Management II;DLM206D;18;"Dental laboratory management - Interpreting work slips; Professional communication; Principles of stock control; Coping with personal challenges; Career planning; Maintenance and use of equipment relative to year of study. Quality systems - Overview of ISO 9000 systems; Overview of medical devices QMS internationally; Medical devices QMS requirements – South Africa; ISO 9000 systems as basis of ISO 13485; and Overview of ISO 13485 with focus on custom-made devices."
null;null;null;null;Dental Materials Science II;DMS206D;15;Dental materials such as inlay material. Dental alloys and physical properties of materials. Basic chemistry and physics that apply to dental materials.
null;null;null;null;Dental Technology Theory II;DTT206D;15;Theory of the construction of orthodontic appliances, as well as partial dentures and full metal crowns and bridges, temporary crowns and posts.
null;null;null;null;Jurisprudence;JUR205D;15;Legal aspects of dental technology in South Africa.
null;null;null;null;WIL in Dental Technology II;WDT226D;24;A Cooperative Education programme that will enhance and enrich the student's knowledge and practice skills that were acquired in the simulated work environment in a real world setting. The student is also exposed to the tasks and practices found in such a place of work.
null;null;null;3;Business Practice I;1SP305D;12;Basic accounting, as well as the layout of offices and the management and administration of a business.
null;null;null;null;Applied Dental Technology III;ADH306D;36;The construction of full metal crowns and bridges with acrylic veneers, as well as metal constructions for porcelain crowns, prosthetics, orthodontics and cobalt chrome.
null;null;null;null;Dental Laboratory Management III;DLM306D;18;"Dental laboratory management - Record keeping; Invoicing; Informed consent for substitution; Council regulations regarding laboratories; Conflict resolution in the work-place; Applying for work; CV writing; Interviews; Continuous professional development; Rules and regulations; and Maintenance and use of equipment relative to year of study. Quality systems - Documents that regulators expect you to maintain. The medical device regulations that apply to dental laboratories; The roles that medical device regulators expect you to Perform; The documents that ISO 13485 expects you to maintain; The procedures that ISO 13485 expects you to document; The activities that ISO 13485 expects you to document; The arrangements that ISO 13485 expects you to document; The requirements that ISO 13485 expects you to document; and Introduction to risk management."
null;null;null;null;Dental Materials Science III;DMS306D;15;A continuation of the study of dental materials. Implants, cross-infection and safety in the laboratory. Basic chemistry and physics that apply to dental materials.
null;null;null;null;Dental Technology Theory III;DTT306D;15;Theory of crown and bridge work, including full metal crowns with acrylic veneers and metal constructions for porcelain crowns and bridges.
null;null;null;null;WIL in Dental Technology III;WDT326D;24;A Cooperative Education programme that will enhance and enrich the student's knowledge and practice skills that were acquired in the simulated work environment in a real world setting. The student is also exposed to the tasks and practices found in such a place of work.
null;null;DIPLOMA IN KINESIOLOGY AND COACHING SCIENCE;1;Communication for Academic Purposes;11P105X;10;A workable knowledge of English is an essential skill for any graduate who is required to conduct themselves successfully in a professional working environment. This module will equip students with the competencies required to compose a selection of written texts related to communicating both internally and externally within a professional environment. In addition, the module includes strategies that are essential for the effective communication in various situations, including small groups to avoid unproductive conflict, a multicultural context, etc
null;null;null;null;Computer Literacy (second-semester module);CPL115X;10;This module provides students with foundational knowledge in computing fundamentals, essential digital skills in key applications based on MS Office Suite and network basics (i.e. MS Outlook and Internet). Online exams are mapped with End-User Computing: SAQA 49077 (61591) Core Element as well as Internet and Computing Core Certification (IC3).
null;null;null;null;Foundations of Sport Coaching Sciences I;FSP105D;20;A learning module, which will provide the student with a theoretical underpinning knowledge in the field of sport coaching and skill acquisitions. It also offers an introduction to the principles of training, basic coaching methods, safety in sport training and competition, communication skills in coaching, sociology and history of sport coaching, and the South African Coaching Framework.
null;null;null;null;Human Anatomy I;HAN105D;12;To equip students with informed understanding of the core areas of the human anatomy system. The student will be able to understand the key terms, concepts, facts, and general principles of human anatomy and be able to apply his/her knowledge of cellular components, tissue and organ systems to and overall perspective of a healthy human necessary in the career focused medical related community. Upon completion of the module, the student will be able to understand important cellular concepts, identify all bones, muscles, nerves and have a sound basis of each organ system. Students will also have mastered limited practical skills in selected human body structures and location.
null;null;null;null;Human Physiology I;HPH105D;12;Informed understanding of the core areas of human physiology. The student will be able to understand key physiology terms, concepts, medical related facts, and the general principles of the organisation of the human body, principles of support and movement, control systems of the human body such as the skeletal-, cardiac-, endocrine-, and nervous system, maintenance of the human body, and continuity in theoretical and limited practical contexts contributing to the body of knowledge necessary in the career focused medical community. Upon completion, the student will be able to identify, explain and apply concepts and processes related to physiology, their control and regulation such as homeostasis, nutrition, movement and reproduction and distinguish between mechanical, biochemical and physical functions in a living system and how each system integrates with other systems in the human body. He/she will also have basic practical skills in selected human body structures, functions and their roles.
null;null;null;null;Information Literacy;INL125X;2;"Introduction of information literacy. Development of a search strategy and application of a search string to search
engines and academic databases. Evaluation of information sources. Ethical and legal use of information."
null;null;null;null;Life Skills;LFS125X;2;"Personal, socio-emotional and academic skills development for students in higher education. This module includes: 1. Intra- and interpersonal skills (e.g. emotional intelligence, relationships, and conflict management); 2. General study skills (e.g. time management, goal setting, learning styles); 3. Health and wellness (e.g. HIV/ AIDS, GBV issues, substance abuse); 4. Student life and adjustment (e.g. identity development, adjusting to a higher education environment); and 5. Financial management."
null;null;null;null;Sport Practical I;SPL105D;20;A practical learning module which equips a student with knowledge, skills and values to safely promote physical activity, participation and performance in four nationally-recognised sporting codes. The purpose of this module is to offer a student the needed theoretical knowledge, practical experience and relevant designation to render services as an Apprentice Coach and/or Coach Assistant.
null;null;null;null;Sport Studies I;SPS105D;12;The student learns to appreciate the Sociological, Philosophical and Historical aspects of human behaviour in the broad field of Sport Studies. With this knowledge, he/she will be able to distinguish and identify between psychology of sport, sociology of sport, philosophy of sport and the history of sport as well as identify and discuss the controversies in sport.
null;null;null;null;Sport Science I;SSC105D;20;The purpose of this module is to provide the student with insight into the basic concepts of health, wellness and fitness. A wide range of topics pertaining to motor- and health-related fitness components, and an introduction to a number of basic exercises which will form the basis for Sport Science II and III.
null;null;null;2;Biomechanics I;BMH205D;18;The purpose of this module is to prepare the student within the field of Biomechanics related to physical activity and exercise. The student will be able to apply knowledge about anatomy and biomechanics to the evaluation of the strengths and weaknesses of the performance of sport and exercises techniques. In addition, the student will be well positioned to extend his/her learning and practice to other areas where sport science is applied to the improvement of the mechanics of performance and to modify physical activity according to the aims and needs of the participants. Students will also be able to analyse the mechanical effectiveness and efficiency of sport and exercise performance in order to promote specific performance improvements as well as an increase in the physical safety of performance in general.
null;null;null;null;Coaching Science II;COC206D;18;The purpose of this module is to prepare the student to function successfully in an interdisciplinary environment in order to improve athletes’ and sports teams’ performances using the latest techniques and research. The student will be able to apply his/her knowledge of the theory and practice of physical education, sport and coaching science across education, leisure and community sectors to improve athletic performance.
null;null;null;null;Exercise Anatomy and Physiology I;EXE206D;18;A module aimed at introducing a student to the scientific basis of exercise physiology to prevent or control mind-body diseases, promote health and well-being, and enhance athlete performance. In addition, the text enables him/her to understand physiology and athletic performance, by examining exercise metabolism, fuel utilisation, and cardiovascular functions. Specific physiologic calculations are presented to teach the student how to monitor exercise intensity, as well as to improve the safety and credibility of client-specific test protocols, health and fitness training programmes, and athletic competitions. He/she will learn about current research and research practices in muscle and exercise as well as the necessary physiologic, electrocardiographic, and anatomic concepts pertinent to prepare for Exercise Anatomy and Physiology II.
null;null;null;null;Motor Learning and Human Development I;MLH216D;6;"The purpose of this module is to provide the student with a fundamental understanding of how motor development affects motor learning. A student will be introduced to the individual functional and structural constraints
present in childhood and adolescence in addition to the motor skills developed during childhood. The purpose
of this module is to enable him/her to prepare, develop and implement developmentally appropriate movement programmes."
