University of Free State;Faculty;Qualification;Year;Modules;Module Code;SAQA credits;Description
null;null;"Water
resources and
environmental
change";null;null;null;null;"This module deals with the novel pressures being place on water
management due to widespread and rapid environmental change. It
begins by outlining the current availability of freshwater from surface and
underground sources, and how this water is currently allocated to various
different sectors internationally and nationally. It then explores how this
current allocation is likely to be affected by increased human population
growth, changing human consumption patterns, environmental pollution,
climate change and habitat transformation. The purpose is to equip water
managers with the ability to manage novel future pressures and maintain
resilience in the water system.
MAIN The student should be able to:
- Analyse current freshwater availability from surface and underground sources nationally and
internationally.
- Classify the current allocation of freshwater to various sectors (i.e. domestic, industry, agriculture and
ecosystems).
- Describe how future pressures (i.e. population growth, urbanisation, consumption, pollution, climate
change and habitat loss) will alter the allocation of future freshwater resources.
- Evaluate management approaches to handle novel pressures to freshwater systems, to maintain
socio-ecological resilience and mitigate the negative effects of water shortages."
null;null;"Water Resources
Management
in Arid
Environments";null;null;null;null;"This module focusses on the management of natural surface and ground
water resources in arid environments. Starting at the catchment scale,
it describes how climate, topography, substrate, land-cover and human
development affects the water cycle. It then explores how changes to the
water cycle affects the quantity and quality of water in natural systems
and how this, in turn, influences the integrity of natural ecosystems and
the continued supply of ecosystem services.
MAIN The student should be able to:
- Describe the unique pressures on water management in arid environments.
- Outline how climate, topography, substrate, land-cover and human development affects the flow
regime.
- Evaluate how changes to the water system affects the quality and quantity of water in natural
systems.
- Analyse how changes to the flow regime affect the integrity of ecosystems and how effective
management can modulate these changes.
- Demonstrate why managing ecological infrastructure is important for the continued supply of water in
arid environments."
null;null;"Water
management in
an urbanising
world";null;null;null;null;"This module focuses on how water needs can be met in urban
environments. It begins by outlining international and national trends
in urbanisation within the context of water security. Students will be
exposed to management best practice of water supply to densely
populated human settlement, including the treatment of water to drinking
quality standards, the distribution of water to households and industries,
and the treatment of wastewater from urban environments. Lastly, the
module will introduce novel approaches to water recycling in urban areas
in the form of Water Sensitive Urban Design (WSUD), in order to address
the risk of water scarcity and related environmental disasters.
MAIN The student should be able to:
- Outline the unique pressures of supplying water in urban environments.
- Discuss the legal obligations cities and town have to supply adequate water to citizens.
- Describe the management principles of water treatment and distribution to households and industries.
- Synthesise the characteristics to WSUD and how these can mitigate the risks of water shortages and
floods."
null;null;"Integrated Water
Resources
Science";null;null;null;null;"This module contains fundamental knowledge, theories, principles and
practices relating to integrated water resources (IWR) science (e.g.
resource integrity and its measurement; social and economic aspects of
water), ecosystem components, drivers and indicators (e.g. meteorology,
hydrology, geohydrology, chemistry, hydraulics, geomorphology, riparian
vegetation, fish communities etc.), and technical aspects relating to
pollution and rehabilitation, and waste water engineering.
MAIN The student should be able to:
- Examine the theories and terminologies relating to a variety of disciplines (considering the
interdisciplinary nature of integrated water management) in order to analyse real-life case studies and
situations that relate to integrated water management;
- Consult multiple knowledge sources, including quantitative and qualitative data, scientific reports, and
strategies, policies and plans, in order to critically, synthesise, evaluate and manage information, and
develop creative responses to complex water-related problems and issues;
- Communicate ideas, solutions and conclusions to academic, professional and public audiences,
verbally, in writing or by means of other media, and be able to participate in interdisciplinary
collaboration with regard to water impact assessments, environmental water assessments etc.;
- Show insight into complexities arising from the interaction between the major components of the
global water cycle, and between human development, water use and the environment;
- Conduct self-study activities, manage their own learning processes, effectively address their
professional and on-going learning needs, and take full responsibility for their work, decision-making
and use of resources."
null;null;"Integrated Water
Resources
Management and
Legislation";null;null;null;null;"This module contains fundamental knowledge, theories, principles
and practices relating to integrated water resources (IWR) science
(e.g. relevant governance and legislation, as well as topics related to
catchment management, water health, risk management and project
management.
MAIN The student should be able to:
- Discuss, explain and analyse theories and terminologies relating to water health and risks, water
governance, water policies, and relevant legislation in order to analyse real-life case studies and
situations that relate to integrated catchment and risk management;
- - Identify and take into consideration ethical issues, such as those involved in good governance,
public participation and other relevant practices relating to legislation when applying appropriate tools
and knowledge to matters relating to water management;
- Consult multiple knowledge sources, including quantitative and qualitative data, scientific reports, and
strategies, policies and plans, in order to critically, synthesise, evaluate and manage information, and
develop creative responses to water health and risk problems and issues;
- Communicate ideas, solutions and conclusions to academic, professional and public audiences,
verbally, in writing or by means of other media, with regard to resource integrity, water availability and
scarcity, water health risks, water drinking standards, waste and disaster management and to manage
conflict that may arise from these issues;
- Work effectively in an interdisciplinary team to solve complex water-related problems and to develop
negotiating and conflict management skills."
null;null;"Environment and
climate studies";null;null;null;null;"Environmental problems and causes, history of the use and conservation of resources,
ecosystems and how they work, population dynamics and the influence on the
environment, pollution and solid waste. Weather and climate systems of the Souhern
hemisphere and climate variability.
MAIN Student will be able to:
• Identify and discuss the problems associated with resource use;
• Discuss and identify environmental problems and their causes;
• Identify and compare developmental options in terms of their environmental impacts;
• Identify and interpret weather and climate systems that affect the South African situation; and
• Assesses the link between environmental problems and climate variability"
null;null;"Introduction to
Geology";null;null;null;null;"-Introduction to geology and planet Earth; Structural geology and plate tectonics;
Mineralogy and crystallography; Petrology and classification of rocks; Weathering, erosion
and deposition; Metamorphism; Mineral and energy resources; Groundwater resources;
Geologic time; Sustainable development in relation to the Earth system; Geomorphology
-Practical: Identification of 6 crystal systems using idealised crystal models; How to use a
hand lens; Macroscopic characteristics of ~40 minerals (list to be supplied); Identification
and description of common rocks.
MAIN Student will be able to:
-Describe processes acting on and in the Earth including execution of processes to solve
problems and explain natural phenomena related to minerals, rocks and geological process
-Recognise and classify minerals, rocks and geological structures;and
-Evaluate, select and apply appropriate methods, procedures and/or techniques in
processes of investigation or application within a defined context."
null;null;"Geological Field
Techniques";null;null;null;null;"Practical: Basic map reading (Relief; scales; dates; coordinates & map projections;
magnetic declination; elements of a geological map); Measurement of geological features
(Using a GPS; compass; hammer; hand lens; magnet; measuring planes and lines)
Sampling (Hand samples and thin sections; geochemistry; geochronology; taking oriented
samples); Preparation for field work (Field work ethics; field work safety; equipment;
defining the objectives; deciding where to go; determining your position; scale and regional
context); Aerial photographs and Google Earth; Use of magnetometer, Grid mapping;
Measuring profiles with a Jacob Staff and Abney level; construction of stratigraphic profiles;
Compilation of a geological map; Report writing; Core logging.
MAIN Student will be able to:
- Discuss and apply techniques that may be employed in field-based geological analyses
- Apply theoretical knowledge on a practical basis
- Map areas geologically, measure profiles, make geological observations and write reports."
null;null;"Geology for
Engineers
(Practical)";null;null;null;null;"Description and identification of the most common rock forming minerals, their applications
in industry and the environmental impacts associated with their extraction and use
Identification and description of the different rock types (igneous, sedimentary and
metamorphic) and an investigation of their textural properties and the influence thereof on
their suitability for construction and civil engineering applications
Exposure to groundwater resources in South Africa, practical exposure to pump tests as
well and the interpretation of groundwater quality.
Exposure to waste management practices and a visit to waste disposal facilities in
Bloemfontein.
MAIN Student will be able to:
- Describe and apply the basic principles related to natural processes;
- Describe the influence of these processes on man and his environment and the influence
of man on the environment; and
- Apply theoretical knowledge with sound judgement to identify and manage geological
hazards.
- Be able to interpret data with sound judgement and discuss the observations in a report"
null;null;"Environmental
Geology";null;null;null;null;"Introduction to Environmental Geology; The Earth; Structural Geology and Plate Tectonics;
Mineralogy with a focus on environmental issues (e.g. acid mine drainage, silicosis,
asbestosis, clay minerals etc.); Petrology with a focus on the engineering properties
of rocks; weathering, erosion and pedogenesis; geomorphology with a focus on karst
topography and the formation of sinkholes; geohydrological principles; groundwater
(dewatering, water quality and pollution); introduction to environmental geochemistry;
applications of geochemistry in mineral exploration; pollution; geological hazards;
volcanism; slope stability; construction and the environment and waste management."
null;null;"Geological
structures and
maps";null;null;null;null;"Practical: Interpretation of geological maps and structures; Basic techniques used to
construct geological sections; Vertical exaggeration in geological sections; Interpretation
of geological structures with the help of structural contours; Three point problems;
Construction of geological sections without strike lines; Horizontal strata, dipping strata,
unfonformities, folds and faults on geological maps and in geological sections; Basic
trigonometry applied to geological maps and sections
MAIN Student will be able to:
- Interpret geological structures and maps;
- Apply the basic principles and techniques used in the construction of sections; and
- Apply theoretical knowledge to practical problems with sound judgement"
null;null;"Structural
Geology";null;null;null;null;"-Stress; strain; deformation; mechanical behaviour of rocks; foliation& cleavage; lineations;
folds; shear zones; faults; joints; stress and strain equations and the Mohr diagram;
tectonic settings; Anderson theory of faulting
-Practical: Balanced cross sections; fold projections and block diagrams; stereonets; strain
analysis; geological maps in structural analysis; remote sensing in structural analysis;
description and classification of S and L tectonites; descriptionand classification of folds
MAIN Student will be able to:
- Discuss and apply the principles and techniques associated with structural geology;
- Apply this knowledge conceptually and practically for the purpose of a professional
geological service; and
- Develop suggested proposal to display readiness for independent post-graduate studies"
null;null;Applied Geology;null;null;null;null;"This module assists the student with the identification of the influence of geological
variables in the Mineral Resource Management environment in terms of the exploitation
needs in the longterm and production environments. The learners will be lectured in the
application of geology and geological information to the total production process to achieve
optimum ore-utilisation through the application of a product focus. To enable the learner
to determine and quantify variables pertaining to ore and ore- body morphology that has a
critical influence on product delivery and profit. To equip the learner to structure and apply
geological information in the Mineral Resource Management environment in order to better
exploit the resource and utilise information to do target driven grade control.
MAIN Student will be able to:
-Identify of geological variables impacting mining value chain performance;
-Identify of ore and ore body morphological factors impacting mining value chain
performance;
-Use geological data and information within the MRM context to improve ore extraction and
grade control;
-Access, evaluate and synthesise scientific information;
-Generate scientific information; and
-Communicate scientific understanding in writing and orally"
null;null;"Geological
Modelling and
Applied GeoStatistics";null;null;null;null;"The importance of accurate and reliable geological information to the short-term mine
schedule and production environment is significant. In the mining environment, the most
important information is contained in the geological models. Understanding the role of
geo-statistics in Mineral Resource Management and how it is used to determine optimum
ore-utilisation and product delivery is imperative. The learner is empowered to ensure that
relevant and accurate geological information is made available to all role players in the
production process to enable them to make better decisions.
MAIN Student will be able to:
-Explain the importance of accurate and reliable geological information to the short-term
mine schedule and production environment;
-Outline the role of geo-statistics in Mineral Resource Management and how it is used to
determine optimum ore-utilisation and product delivery;
-Use geo-statistical approaches strategically to optimise ore-utilisation and maximise
product delivery in the long-term;
-Make relevant and accurate geological information available to all role players in the
production process to enable them to make better decisions;
-Access, evaluate and synthesise scientific information;
-Generate scientific information; and
-Communicate scientific understanding in writing and orally."
null;null;"Research Report
Geology";null;null;null;null;"Identifying a research project and formulating a research question; consultation of primary
literature relevant to the chosen topic of inquiry; consideration of research ethics and
development of an appreciation of the scientific method; generation of data relevant to
a specific research project; development of critical reading and scientific writing skills;
presentation of research data in a final report; reaching conclusions that are grounded on
the data collected; identifying (where necessary) the need for further research.
MAIN Student will be able to:
- Explain, explore and apply fundamental concepts and principles of Geology;
- Access, evaluate and synthesise scientific information;
- Generate scientific information; and
- Communicate scientific understanding in writing and orally."
null;null;Geology Thesis;null;null;null;null;"This module contains fundamental knowledge, theories, principles and practices of
Geology, General including Research project in specialized field of Geology, General as
discussed by study leader(s), Academic Departmental Head and student. The project
includes problem identification, hypothesis formulation, independent planning and
conducting of experiments, analysis and interpretation of results, discussion of results,
compiling the information according to a specified dissertation structure, grammatical
and technical aspects of scientific writing. The emphasis is on independent and original
research.
MAIN Student will be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department
recommend that dissertations be written in article format); and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing"
null;null;"Introduction to
Mathematical
Modelling";null;null;null;null;"Principles of modelling. Optimisation models. Physical, chemical, biological and
financial models. Decision and Game Theory.
MAIN Student will be able to:
- Apply modelling techniques, such as difference and differential equations, proportionality,
dimensional analysis, curve fitting and interpolation techniques, and elementary optimisation
techniques;
- Use the basic steps to build a model, in conjunction with the techniques; and
- Construct a simple model on his own, or as part of a small team"
null;null;"Ordinary
Differential
Equations";null;null;null;null;"Non-linear first order differential equations: substitution techniques, exact
equations, integration factors. Non-homogeneous higher order differential equations
with constant coefficients. Series methods. Systems of linear differential equations.
Applications such as mixtures, orthogonal trajectories and the logistic equation.
MAIN Student will be able to:
-Solve various non-linear first order differential equations, linear second order differential equations
with constant coefficients, as well as some with non-constant coefficients; and
-Apply ordinary differential equations to solve some basic scientific problems from various disciplines."
null;null;"Numerical
Analysis";null;null;null;null;"Non-linear equations in one variable: iterative methods, error analysis. Polynomial
interpolation: Lagrange, barycentric, Newton, Chebyshev and Hermite interpolation
; splines; error estimation. Numerical differentiation and integration. Initial-value
problems in ordinary differential equations: elementary theory, high-order Taylor,
Runge-Kutta and multistep methods, stability.
MAIN Student should be able to:
- Implement the theory of numerical techniques such as the iterative solution of non-linear equations,
interpolation, numerical differentiation and integration, and the numerical solution of ordinary
differential equations on a computer.
- Perform accuracy and reliability tests."
null;null;"Introductory
Calculus and
Statics";null;null;null;null;"Calculus: polynomial, trigonometric and logarithmic functions, curve sketching, the
function concept, and outline of differentiation and integration. Statics: forces and
moments, stress and strain, shear force and bending moment, trusses.
MAIN Student will be able to:
-apply basic differentiation, integration and strength of materials and be able to use calculus to solve
construction problems."
null;null;Calculus;null;null;null;null;"This module contains introductory theory and applications of one variable calculus
including the concept of a function, polynomial, exponential, trigonometric and
logarithmic functions, graphs, limits, continuity, derivatives, curve sketching,
applications of the derivative, the definite and indefinite integral and some
integration techniques
MAIN Student will be able to:
- find the domain and range of a given function.
- find the inverse of an invertible function
- shift and stretch a given function
- solve simple problems involving exponential functions, including population growth and radioactive
decay
- solve equations using logarithmic functions
- solve problems involving sinusoidal and tangent functions
- find the horisontal and vertical asymptotes of rational functions
- identify parts of a function which are continuous, and points at which it is not
- calculate limits, including left hand and right hand limits of a function
- identify the inner and outer functions of a composite function
- construct a composite function from given functions
- calculate the derivative of polynomial functions using the definition of the derivative at a point and
as a function
- use the rules of differentiation to calculate derivative functions for polynomial, exponential,
logarithmic, trigonometric and inverse trigonometric functions
- find the derivatives of implicit functions
- finding and identifying local maxima and minima and inflection points of functions
- find the global maximum and minimum of a given function and apply this to simple optimisation
problems
- calculate indefinite integrals using some simple rules
- calculate definite integrals using the fundamental theorem of calculus
- use simple substitutions to calculate definite and indefinite integrals; and
- use integration by parts to calculate definite and indefinite integrals"
null;null;"Introductory
Calculus and
Statics";null;null;null;null;"Calculus: polynomial, trigonometric and logarithmic functions, curve sketching, the
function concept, and outline of differentiation and integration. Statics: forces and
moments, stress and strain, shear force and bending moment, trusses.
MAIN Student will be able to:
-apply basic differentiation, integration and strength of materials and be able to use calculus to solve
construction problems."
null;null;Precalculus I;null;null;null;null;"Number systems. Properties of real numbers. Notations. Exponents and radicals.
Special product formulas. Factorizing. Distance and midpoint formulas. Simplify
algebraic expressions. Solve equations. Modeling. Applications: Interest; speed;
distance; time; percentages; depreciation; inflation; ratio and proportion.
Exponential and logarithmic laws. Functions. Domain and Range. Graphs: Linear;
Quadratic; circles ; Half-circle and hyperbola; exponentials and logarithms graphs
; absolute value. Elimination and substitution. Principles of geometry. Perimeter,
circumference, area, volume and total area. principles of trigonometry and solving
triangles; applications and modeling. Arithmetic and Geometric series.
MAIN Student will be able to:
- identify natural numbers, integers, rational and real numbers, and be able to prove theorems by
induction.
- derive the sum formulas for geometric and arithmetic series, and apply these, as well as induction
to the solution of financial problems involving compound interest, mortgages, depreciation and
inflation.
- use the concepts of ratio and proportion to solve practical problems, such as determining the
approximate height of buildings.
- demonstrate a comprehension of exponentials and logarithms, and be able to solve appropriate
problems using the exponential and logarithmic laws.
- demonstrate a thorough comprehension of graphs of lines, parabolas and circles.
- factor polynomial expressions up to cubic, and find zeros of more complicated functions by
numerical methods not involving derivatives.
- demonstrate a thorough comprehension of the basic geometry of triangles, circles, quadrilaterals,
cylinders and spheres.
- use the various trigonometric functions to solve triangles and to do some basic surveying; and
- do some basic modelling, using the mathematical concepts above."
null;null;Precalculus II;null;null;null;null;"Definition of a function, domain and range; symmetry; even and odd functions;
translating and combining functions; composite functions; inverse functions; linear
and quadratic functions; power functions and polynomials; rational functions
and their properties; exponential and logarithmic functions; the exponential and
logarithmic laws; the trigonometric functions and their inverses; trigonometric
identities; limits and continuity; basic statistics and probability theory.
MAIN Student will be able to:
- determine the domain and range of given functions.
- recognize symmetric functions, and make use of it in manipulating such functions.
- translate functions horisontally and vertically and combine it with other functions.
- determine the inverses of given functions, either graphically, or analytically, or both.
- investgate and explain the properties of linear and quadratic functions and their graphs.
- explain the properties and graphs of power functions and polynomial functions.
- explain the properties of the sin cos and tan functions, and be able to solve practical problems
involving sinoidal functions.
- derive trigonometric identities and use these to simplify and manipulate appropriate functions.
- explain the properties and graphs of the inverse trigonometric functions.
- explain the properties and graphs of exponential and logarithmic functions.
- identify when and how to use logarithms to solve equations.
- model exponential growth and decay processes.
- demonstrate a sufficient explanation of continuity and the concept of a limit to be well prepared for
a calculus module.
- use some simple statistical techniques as well as some probability theory in order to process
experimental data; and
- do some basic modelling, using the mathematical concepts above"
null;null;"Introduction
to Advanced
Mathematics";null;null;null;null;"Number systems. Elementary logic and set theory. Methods of proof. Mathematical
induction. Newton’s method. Conic sections. Applications of integration. Problem
solving strategies.
MAIN Student will be able to:
- Use the principals of logic to prove results;
- Solve problems involving sets;
- Work with relations and functions;
- Apply mathematical induction;
- Analyse and find roots using Newton’s method;
- Master the properties, derivatives, anti-derivatives and applications of the hyperbolic functions;
- Use integration to calculate lengths, areas and volumes; and
- Become familiar with mathematical problem solving strategies"
null;null;"Calculus and
Algebra";null;null;null;null;"This module contains some theory and applications of Calculus and Algebra,
including: calculation of definite and indefinite integrals by substitution and partial
fractions, solving separable ordinary differential equations, complex numbers,
vectors in 2 and 3 dimensions, vector equations of lines and planes, solving
systems of linear equations, introduction to matrix algebra.
MAIN Student will be able to:
- Recognise and calculate indefinite and definite integrals which can be calculated by algebraic, sine,
and cosine substitutions.
- Recognise and calculate both definite and indefinite integrals which can be solved by partial
fractions.
- Recognise a separable ordinary differential equation and solve it.
- Calculate the absolute value and conjugate of a complex number.
- Add, subtract, multiply and divide complex numbers and write the result in standard form.
- Covert a complex number to polar form and back.
- Calculate an integer power of a complex number.
- Calculate all the roots of a complex number for a given integer root.
- Convert a vector from its geometrical definition to component form and back.
- Add and subtract vectors
- Calculate the dot and vector product of two vectors.
- Use the vector product to calculate the areas of triangles and parallelograms.
- Calculate the box product of three vectors.
- Use the box product to calculate the volume of a parallelopiped.
- Write the equation of a line in vector and parametric form in two and three dimensions.
- Write the equation of a plane in vector and parametric form in three dimensions.
- Calculate relationships between lines and lines and planes using vector methods.
- Add, subtract and multiply matrices.
- Calculate the determinant of a matrix.
- Calculate the inverse of an invertible matrix by both the cofactor and Gauss-Jordan method."
null;null;Vector Analysis;null;null;null;null;"Vector functions: limits, derivatives and integrals. Curves: parameterization, tangent
vectors, arc length. Multivariable functions: qua¬dratic surfaces, partial derivatives,
limits, continuity, differentiability, gra¬dients and directional derivatives, the Mean
Value theorem, the chain rule for partial derivatives, tangent planes. Multiple and
line integrals: Theory and applications.
MAIN Student will be able to:
-Describe and prove the theory of more ad¬vanced calculus, including vector calculus, multivariable
functions, line integrals and surface integrals.
-Apply the theory in 1. to solve both mathematical and real life problems."
null;null;Linear Algebra;null;null;null;null;"Real vectors/spaces, subspaces, basis, dimension, rank, nullity, matrix
transformations. Eigenvectors and diagonalisation. Inner products and GramSchmidt process. Orthogonal matrices and orthogonal diagonalisation. General
linear transformation and isomorphism.
MAIN Student will be able to:
-Describe and prove the theory of linear algebra, and specifically the algebra of abstract vector
spaces which includes linear mappings, inner products, orthogonality, quadratic forms, symmetric
matrices and diagonalisation; and
-Apply the theory in 1. to solve mathematical and certain real life problems."
null;null;"Sequences and
Series";null;null;null;null;"Sequences of real numbers: convergence, limits, boundedness, indeterminate
forms, LHospitals rule. Improper integrals. Infinite series: tests for convergence,
absolute and conditional convergence. Taylor series. Power series: intervals of
convergence. Fourier analysis.
MAIN Student will be able to:
-Describe and prove the theory of sequences and series of real numbers.
-Solve linear first and second order difference equations with constant coefficients.
-Investigate the convergence of sequences and calculate their limits when applicable.
-Test series for convergence
-Calculate the interval of convergence of power series
-Expand given functions into Taylor or Fourier series."
null;null;"Complex
Analysis";null;null;null;null;"The complex numbers. Functions of a complex variable. Limits, continuity and
differentiability. The Cauchy-Riemann equations. Power series. Analytic functions.
Cauchy’s theorem. Residue theory and applications.
MAIN Student should be able to ;
-Describe and prove the basic theory of complex functions; and
-Apply the theory in 1. To solve various mathematical problems, including the calculation of integrals"
null;null;Real Analysis;null;null;null;null;"Axiomatic construction of the real numbers. Sequences of real numbers. The
Weierstrass-Bolzano theorem. Limits and continuity. The intermediate value
theorem. The Riemann integral.
MAIN Student should be able to;
-Describe and prove the basic theory of the field of real numbers, including continuity, differentiablity
and Riemann integrability"
null;null;"Discrete
Mathematics";null;null;null;null;"Predicate Logic, methods of proof, set theory, functions and relations, Division
Algorithm, Pigeonhole Principle, elementary number theory, induction, effectivity of
algorithms, combinatorics, graph theory.
MAIN Student will be able to ;
-Describe the foundation of mathematics;
-Show when sentences are logically equivalent;
-Describe and use notions such as countability and infinity; and
-Study and understand the theory of algorithms ."
null;null;Algebra;null;null;null;null;"Integers: Induction, greatest common divisors, well-ordering principle, equivalence
relations, arithmetic modulo n. Groups: Finite and infinite groups, subgroups,
cyclic groups, dihedral groups, permutation groups, Lagrange’s theorem, cosets,
conjunction, homomorphisms, isomorphism theorems. Rings: Commutative rings,
rings with unity, integral domains, polynomial rings, fields, principle ideal domains,
ideals, homomorphisms, fields of fractions of an integral domain, isomorphism
theorems
MAIN Student will be able to;
-Describe notions around certain algebraic structures such as groups, rings and fields;
-Apply these notions;
-Determine the possibility of certain geometric constructions; and
-Study coding theory"
null;null;Algebra;null;null;null;null;"Group action on a set, the Sylow Theorems, Fundamental Theorem of Finite
Abelian groups, Nilpotent and Solvable Groups, p-Groups. Integral domains, Fields
of Fractions, Polynomial Rings, Introduction to Lattices and Boolean Algebras.
MAIN The student should be able to understand and solve fundamental problems in elementary group
theory, ring theory and lattices."
null;null;Algebra;null;null;null;null;"Axiom of Choice, Order, Zorn’s Lemma, Free Groups, Free Products, Generators
and Relations, Character Theory. Lattice Theory. Introduction to Universal Algebra.
MAIN The student should be able to understand and solve fundamental problems in advanced algebra."
null;null;"Applied
Mathematics
Thesis";null;null;null;null;"This module contains fundamental knowledge, theories, principles and practices
of Applied Mathematics, General including Research project in specialized field
of Applied Mathematics, General as discussed by study leader(s), Academic
Departmental Head and student. The project includes problem identification,
hypothesis formulation, independent planning and conducting of experiments,
analysis and interpretation of results, discussion of results, compiling the
information according to a specified dissertation structure, grammatical and
technical aspects of scientific writing. The emphasis is on independent and original
research.
MAIN Student should be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department recommend
that dissertations be written in article format); and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing"
null;null;"Functional
Analysis";null;null;null;null;"Metric spaces, completeness, normed spaces, Banach spaces, bounded linear
operators, dual spaces, inner product spaces, Hilbert spaces, orthonormal sets and
sequences.
MAIN The student should be able to understand, apply and prove results in functional analysis."
null;null;"Measure and
Integration
Theory";null;null;null;null;"Introduction to the theory of sigma algebra, measure and measurable spaces, with
particular focus on the construction and applications of the Lebesgue measure. The
Lebesgue integral and its relation to the Riemann integral is also investigated.
MAIN After the successful completion of this module, the student will:
- have a working knowledge of the fundamentals of measure and integration theory.
- be able to continue with courses in probability theory and functional analysis."
null;null;"Mathematics
Thesis";null;null;null;null;"This module contains fundamental knowledge, theories, principles and practices
of Mathematics, General including Research project in specialized field of
Mathematics, General as discussed by study leader(s), Academic Departmental
Head and student. The project includes problem identification, hypothesis
formulation, independent planning and conducting of experiments, analysis and
interpretation of results, discussion of results, compiling the information according
to a specified dissertation structure, grammatical and technical aspects of scientific
writing. The emphasis is on independent and original research.
MAIN Student should be able to:
-Identify the problem;
-Formulate a hypothesis;
-Do independent planning and then conduct the experiments;
-Analyse and interpret the results;
-Discuss the results comprehensively;
-Compile the information according to a specified dissertation structure (the department recommend
that dissertations be written in article format); and
-Write a manuscript, adhering to the grammatical and technical aspects of scientific writing.
"
null;null;"Numerical
Linear Algebra";null;null;null;null;"Ordinary differential equations: Euler’s method, multistep methods, Explicit and
implicit Runge-Kutta methods, Collocation, Linear stability, Difference operators.
Partial differential equations: Finite difference schemes for Poisson’s equation,
Algebraic solution of large systems.
Finite elements and Spectral methods.
MAIN After completing this module successfully, a student will be able to discretise ordinary and partial
differential equations according to different numerical methods and will be able to investigate the
stability of these different schemes."
null;null;Optimisation;null;null;null;null;"Unconstrained Optimizations Problems: Line search numerical algorithms such as
the golden section search and parabolic interpolation. Direction picking methods
such as conjugate direction method, Newton’s method and quasi-Newton’s method.
Analytic first order and second order tests for extremums.
Solving Nonlinear Equation: Nonderivative methods such as Gaussian-Seidel
iterative scheme. Derivative methods such as Newton-Raphson Method, Broyden
and Broyden-SMW iterative methods.
Constrained Optimization Problems: Lagrange method for equality constraints (with
both first order and second conditions). The Kuhn-Tucker method for inequality
constraints.
MAIN After completing this module successfully, a student will be able to numerically find a local maximum
or minimum to any well-formed twice differentiable optimization problem possibly with equality
constraints, to numerically solve any well-formed system of equations, to solve small optimization
problems with inequality constraints and know how to theoretically systematically solve large
optimization problems. They should be able to visualize what the various algorithms do when applied
to a function of two variables."
null;null;"Partial
differential
equations";null;null;null;null;"Formulation of Partial Differential Equations. Use of differential operators in solving
linear Partial Differential Equations in two independent variables with constant
coefficients. The Cauchy Problem for first order Partial Differential Equations in two
variables. Characteristic Curves.
Non-linear first order Partial Differential Equations in two variables. Second order
Partial Differential Equations: (i) Canonical forms, (ii) Method of Separation of
variables. Second order Partial Differential Equations: D’Alembert’s method of
solution. Second order hyperbolic Partial Differential Equations: Cauchy Problem
Second order hyperbolic Partial Differential Equations: (i) Use of the Riemann
Method; Construction of the Riemann function, (ii) The telegraph equation. Second
order Partial Differential Equations: Transform Methods.
MAIN After completing this module successfully, a student will be able to analyze and solve various PDE’s
with 2 variables."
